鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區政大一街91~120號,67.89,住,,,1080513,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020131,170.3,2,2,2,有,有,28180000,165473,坡道平面,26.75,0,親友、員工或其他特殊關係間之交易。;,RPUNMLMJPHOFFAA97CA
文山區,房地(土地+建物),臺北市文山區忠順街一段10巷35弄1~30號,14.19,住,,,1080509,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,37.52,3,1,1,有,無,3400000,90618,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLMJPHOFFAA18CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路75巷1~30號,53.02,住,,,1080528,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880413,116.3,2,1,1,有,有,9900000,85125,坡道平面,0.0,0,含增建或未登記建物。;車位面積無法概算。,RPQPMLMJPHOFFAA77CA
文山區,車位,臺北市文山區羅斯福路六段159巷1弄1~30號,2.81,商,,,1080620,土地0建物0車位1,地下一層，地下二層，地下三層，地下四層,十二層,其他,見使用執照,鋼筋混凝土造,0820813,40.28,0,0,0,有,有,1550000,,坡道平面,0.0,1550000,,RPQPMLNJPHOFFAA87CA
中正區,房地(土地+建物),臺北市中正區愛國東路31~60號,17.8,住,,,1080521,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660214,56.75,2,1,1,有,無,12500000,220264,,0.0,0,,RPSNMLOJPHOFFAA97CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段145巷83弄1~30號,22.08,住,,,1080519,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870730,111.2,3,2,2,有,有,14000000,125899,升降機械,0.0,0,含增建或未登記建物。;內含獨立產權車位，未包含在棟數內。車位面積無法概算。,RPXOMLNJPHOFFAA48CA
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路25巷1~30號,49.94,住,,,1061201,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080124,229.04,3,2,2,有,有,40900000,210435,坡道平面,44.66,2100000,,RPTNMLKLPHOFFAA87CA
中正區,房地(土地+建物),臺北市中正區汀州路二段6巷1~30號,11.38,住,,,1080610,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,28.78,2,1,1,有,無,3500000,121612,,0.0,0,,RPTOMLPJQHOFFAA38CA
萬華區,房地(土地+建物),臺北市萬華區中華路一段61~90號,2.49,商,,,1080318,土地1建物1車位0,九層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870604,28.0,0,1,1,有,有,5930000,211786,,0.0,0,含增建或未登記建物。;內含獨立產權公設，未包含在棟數內。,RPTPMLLJPHOFFBA08CA
文山區,房地(土地+建物),臺北市文山區興隆路一段31~60號,7.2,其他,,,1080601,土地1建物1車位0,六層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860704,53.03,1,1,1,有,有,8500000,160287,,0.0,0,含增建或未登記建物。;,RPQOMLKMPHOFFAA77CA
萬華區,土地,莒光段一小段781~810地號,18.2,住,,,1080610,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7793880,428235,,0.0,0,向政府機關承購之案件。;,RPVNMLPJPHOFFBA48CA
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街31~60號,14.44,商,,,1071122,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,226.4,3,2,1,有,有,42800000,225450,坡道平面,54.3,4000000,,RPVOMLPJPHOFFBA58CA
萬華區,建物,臺北市萬華區廣州街92巷1~30號,0.0,,,,1080523,土地0建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620823,75.59,3,2,1,有,無,4500000,59532,,0.0,0,土地為仁濟院所有.權利人兩人,RPVNMLKKPHOFFBA08CA
