鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,房地(土地+建物)+車位,臺中市南區復興路一段301~330號,10.2,商,,,1080525,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941219,97.57,2,1,1,有,有,5600000,57395,坡道平面,19.86,0,,RPUOMLMJPHOFFAB18CA
西區,房地(土地+建物),臺中市西區五權五街246巷1~30號,68.0,住,,,1080516,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0781024,171.32,4,3,4,有,無,14000000,81718,,0.0,0,含增建或未登記建物。;頂樓、天井,RPQNMLNJPHOFFAB77CA
西區,房地(土地+建物)+車位,臺中市西區三民西路61~90號,24.53,住,,,1080607,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041214,173.70999999999998,3,2,2,有,有,14000000,80594,坡道平面,23.33,0,,RPSOMLNJPHOFFAB08CA
南區,房地(土地+建物),臺中市南區忠孝路195巷1~30號,22.9,住,,,1080507,土地1建物1車位0,一層，地下層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681018,139.4,3,2,1,有,無,5200000,37303,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLOJPHOFFAB28CA
南區,房地(土地+建物),臺中市南區南門里忠明南路1305巷2弄1~30號,97.0,住,,,1080606,土地2建物1車位0,全,一層,透天厝,見其他登記事項,加強磚造,0571019,44.31,5,0,5,有,無,7800000,176032,,0.0,0,,RPQOMLOJPHOFFAB97CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,18.0,商,,,1080321,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,203.14,3,2,3,有,有,20700000,110264,坡道平面,29.92,1600000,,RPSOMLPJPHOFFAB28CA
南區,土地,頂橋子頭段361~390地號,20.88,其他,,,1080610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1317220,63085,,0.0,0,包含公共設施保留地之交易。;,RPWOMLPJPHOFFAB68CA
南區,房地(土地+建物)+車位,臺中市南區文心南路871~900號,18.84,住,,,1080604,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000127,179.76,4,2,2,有,有,12400000,68981,坡道平面,17.64,0,,RPWOMLTJPHOFFAB09CA
西區,房地(土地+建物)+車位,臺中市西區五權六街1~30號,20.7,其他,,,1080607,土地2建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0991223,301.2,4,2,2,有,有,32980000,115073,坡道平面,49.36,4000000,含增建或未登記建物。,RPSOMLNKPHOFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區工學五街31~60號,19.59,住,,,1080531,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040529,147.07999999999998,3,2,2,有,有,10600000,72070,坡道平面,0.0,0,,RPQNMLPKPHOFFAB08CA
南區,房地(土地+建物),臺中市南區南和一街16巷1~30號,27.13,住,,,1080529,土地1建物1車位0,一層，二層，三層,十二層,店面(店鋪),住商用,鋼筋混凝土造,0830718,152.77,2,3,3,有,有,6300000,41238,,0.0,0,,RPXNMLPKPHOFFAB78CA
西區,房地(土地+建物)+車位,臺中市西區英才路481~510號,29.9,住,,,1080611,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850103,226.69,3,2,2,有,有,15000000,66170,坡道平面,0.0,0,,RPRNMLQKPHOFFAB28CA
