鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區大仁路260巷1~30號,23.73,住,,,1080504,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680811,68.08,3,2,2,有,無,1750000,25705,,0.0,0,,RPPOMLMJPHOFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區中華一路991~1020號,20.78,住,,,1080605,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770708,130.96,4,2,2,有,無,3000000,22908,,0.0,0,,RPXOMLMJPHOFFAE78CA
鼓山區,房地(土地+建物),高雄市鼓山區美術南三路181~210號,10.95,住,,,1080509,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930722,82.74,2,2,1,有,有,5100000,61639,,0.0,0,,RPOPMLSJPHOFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區文信路181~210號,6.7,商,,,1080525,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901008,72.05,2,2,1,有,有,5100000,70784,,0.0,0,,RPTNMLTJPHOFFAE98CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山三路51巷25弄1~30號,101.0,住,,,1080528,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0801127,243.92,4,1,4,有,無,8000000,32798,,0.0,0,親友、員工或其他特殊關係間之交易。;賣清,RPSNMLPKPHOFFAE58CA
新興區,建物,高雄市新興區民生一路211~240號,0.0,,,,1080620,土地0建物1車位0,全,三層,透天厝,,加強磚造,0581203,606.45,8,3,5,有,無,5850000,9646,,0.0,0,,RPOOMLMJPHOFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區昇平街31~60號,30.97,商,,,1080531,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740125,105.1,3,2,2,有,無,3000000,28544,,0.0,0,,RPQOMLMJPHOFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區武慶三路110巷1~30號,58.0,住,,,1080515,土地2建物1車位0,全,二層,透天厝,,加強磚造,0600831,80.19,3,2,2,有,無,5000000,62352,,0.0,0,含增建或未登記建物。;,RPPNMLNJPHOFFBE08CA
新興區,房地(土地+建物),高雄市新興區中山橫路31~60號,175.0,商,,,1080420,土地2建物1車位0,全,三層,透天厝,,加強磚造,0460909,245.31,3,2,3,有,無,30000000,122294,,0.0,0,含增建或未登記建物。;,RPPOMLOJPHOFFBE28CA
新興區,房地(土地+建物),高雄市新興區五福二路121~150號,4.28,商,,,1080520,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0650802,36.82,2,1,1,有,有,1700000,46171,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPROMLOJPHOFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區義勇路151~180號,73.15,住,,,1080614,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0730222,215.25,6,3,5,有,無,12000000,55749,,0.0,0,有增建,RPPNMLPJPHOFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區華堂里文橫二路1~30號,4.39,商,,,1080425,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0710430,41.86,1,1,1,有,有,2300000,54945,,0.0,0,,RPQNMLPJPHOFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區忠孝二路6巷1~30號,85.0,商,,,1080522,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1051116,438.85,12,5,3,有,無,24300000,55372,,0.0,0,,RPVNMLPJPHOFFBE88CA
