鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,房地(土地+建物),新北市板橋區龍泉街72巷1~30號,25.6,住,,,1080526,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.0,3,2,1,有,無,8300000,83838,,0.0,0,共有人數2人。含增建或未登記建物。,RPUOMLLJPHOFFAF48CA
板橋區,房地(土地+建物),新北市板橋區大觀路二段174巷104弄1~30號,55.68,住,,,1080520,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,83.82,3,3,2,有,無,8800000,104987,,0.0,0,頂樓及防火巷增建。,RPVQMLLJPHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區南雅南路二段142巷1~30號,34.19,住,,,1080606,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.25,3,2,1,有,有,6000000,52061,,0.0,0,親友、員工或其他特殊關係間之交易。;親友、員工或其他特殊關係間之交易。,RPQRMLLJPHOFFAF38CA
土城區,房地(土地+建物),新北市土城區廣福街14巷17弄1~30號,56.47,住,,,1080524,土地1建物1車位0,一層，二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771122,130.14,6,1,3,有,無,7700000,59167,,0.0,0,親友、員工或其他特殊關係間之交易。;防火巷及夾層增建。,RPRRMLLJPHOFFAF48CA
土城區,車位,新北市土城區學府路二段1~30號,0.78,住,,,1080619,土地0建物0車位1,地下一層，地下二層,十五層,其他,停車空間,鋼筋混凝土造,0961002,32.43,0,0,0,有,有,1800000,,坡道平面,32.43,1800000,單獨車位交易。;,RPTRMLLJPHOFFAF68CA
土城區,土地,頂福段1~30地號,9.01,住,,,1080605,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,953575,105835,,0.0,0,,RPSNMLMJPHOFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區光環路二段1~30號,18.5,住,,,1080524,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021226,159.61,3,2,2,有,有,20100000,125940,坡道平面,21.01,0,,RPVNMLMJPHOFFAF58CA
板橋區,房地(土地+建物),新北市板橋區中山路二段121~150號,10.6,住,,,1080526,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871014,112.09,3,2,2,有,有,16280000,145240,,0.0,0,,RPUOMLMJPHOFFAF58CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,4.87,住,,,1080604,土地1建物1車位0,三層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,145.55,4,2,2,有,有,15100000,103744,,0.0,0,含增建或未登記建物。內含獨立產權公設，未包含在棟數內。,RPOPMLMJPHOFFAF08CA
