鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,車位,桃園市桃園區中正路451~480號,1.02,其他,,,1080620,土地0建物0車位1,地下層,八層,其他,住家用,鋼筋混凝土造,0760620,31.08,0,0,0,有,無,1800000,,坡道平面,0.0,1800000,,RPWNMLMJPHOFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路43巷31~60號,29.84,住,,,1080605,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070206,237.0,3,2,2,有,有,10500000,61817,坡道平面,97.88,1900000,,RPOQMLMJPHOFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路43巷31~60號,30.23,住,,,1080617,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070206,238.85999999999999,3,2,2,有,有,11000000,62420,坡道平面,97.88,2200000,,RPPQMLMJPHOFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街61~90號,18.7,商,,,1080311,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080411,187.78,3,2,2,有,有,12680000,69280,坡道平面,27.56,1580000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLNJPHOFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路495巷61~90號,32.88,工,,,1080408,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050519,266.86,0,0,0,有,有,18100000,67826,坡道平面,0.0,0,,RPWPMLNJPHOFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區大德三街61~90號,113.88,住,,,1080511,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0780720,232.84,5,2,4,有,無,13550000,58194,,0.0,0,,RPXNMLNJPHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街31~60號,8.81,商,,,1080526,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,108.31,2,2,1,有,有,6280000,57982,坡道平面,27.63,0,,RPUNMLOJPHOFFAH88CA
桃園區,土地,福林段151~180地號,32.38,農,,,1080618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,783200,24188,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLOJPHOFFAH58CA
桃園區,土地,三民段91~120地號,413.24,住,,,1080408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,112500000,272239,,0.0,0,,RPQPMLOJPHOFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街151~180號,12.16,住,,,1080531,土地1建物1車位1,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,112.07,2,2,1,有,有,8680000,89366,坡道平面,27.25,1100000,,RPOOMLPJPHOFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥五街1~30號,20.84,住,,,1080523,土地1建物1車位2,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,287.64,4,2,3,有,有,13800000,47977,坡道平面,0.0,0,,RPVOMLPJPHOFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路871~900號,32.34,住,,,1080511,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020822,267.55,4,2,2,有,有,18980000,70940,坡道平面,0.0,0,,RPSPMLPJPHOFFAH98CA
桃園區,房地(土地+建物),桃園市桃園區中華路1~30號,3.07,商,,,1080604,土地1建物1車位0,十六層,十七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0861224,38.53,0,0,0,有,有,2600000,67480,,0.0,0,,RPOQMLPJPHOFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德十一街61~90號,27.79,住,,,1080514,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931230,191.17000000000002,4,2,3,有,有,13800000,72187,坡道平面,0.0,0,,RPQQMLPJPHOFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區新埔七街1~30號,16.01,住,,,1080601,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820414,102.15,2,2,1,有,有,6100000,59716,,0.0,0,,RPPPMLPJPHOFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥五街61~90號,23.16,住,,,1080101,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881227,200.82999999999998,3,2,2,有,有,10000000,49793,坡道平面,0.0,0,,RPQRMLPJPHOFFAH98CA
桃園區,土地,中路三段61~90地號,110.0,住,,,1080522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24960000,226909,,0.0,0,,RPROMLSJPHOFFAH09CA
桃園區,土地,中路三段61~90地號,110.0,住,,,1080522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24960000,226909,,0.0,0,,RPSOMLSJPHOFFAH56CA
