鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街31~60號,14.44,商,,,1071122,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,226.4,3,2,1,有,有,42800000,225450,坡道平面,54.3,4000000,,RPVOMLPJPHOFFBA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段450巷21弄1~30號,37.61,住,,,1080416,土地1建物1車位1,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,176.8,3,2,2,有,有,36000000,203620,坡道平面,0.0,0,含增建或未登記建物。;,RPUSMLNJPHOFFCA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,12.41,住,,,1070912,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,106.42,2,2,1,有,有,14750000,165816,坡道平面,30.01,2080000,,RPQRMLLMPHOFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.08,住,,,1070708,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,111.38,2,2,1,有,有,17000000,181052,坡道平面,30.74,2400000,,RPTRMLLMPHOFFCA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.08,住,,,1070728,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,130.91,1,2,1,有,有,17100000,181649,坡道平面,50.26,2450000,,RPURMLLMPHOFFCA78CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,12.28,住,,,1070612,土地1建物1車位1,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,106.39,2,2,1,有,有,15700000,178453,坡道平面,30.74,2200000,,RPVRMLLMPHOFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,12.41,住,,,1070315,土地1建物1車位1,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,108.77000000000001,2,2,1,有,有,15500000,175370,坡道平面,32.36,2100000,,RPXRMLLMPHOFFCA09CA
內湖區,房地(土地+建物),臺北市內湖區新明路428巷1~30號,12.87,住,,,1070808,土地1建物1車位0,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,80.52000000000001,2,2,1,有,有,14000000,173870,,0.0,0,,RPOSMLLMPHOFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,11.74,住,,,1070622,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,102.96000000000001,1,1,1,有,有,15600000,184852,坡道平面,30.74,2250000,,RPPSMLLMPHOFFCA38CA
信義區,房地(土地+建物)+車位,臺北市信義區松德路91~120號,16.26,住,,,1080525,土地3建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0831021,198.56,4,2,2,有,有,43500000,219077,坡道平面,33.82,0,,RPOOMLPKPHOFFDA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段61~90號,39.23,住,,,1070825,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970610,166.74,3,2,2,有,有,43000000,262425,坡道機械,12.41,2500000,,RPQOMLMJPHOFFCA97DA
中正區,房地(土地+建物)+車位,臺北市中正區博愛路61~90號,13.4,商,,,1080524,土地1建物1車位3,八層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021129,309.0,0,0,1,無,有,59400000,224417,坡道平面,71.05,6000000,,RPXNMLQJPHOFFBA88DA
大同區,房地(土地+建物),臺北市大同區民族西路76巷12弄1~30號,17.59,住,,,1080521,土地1建物1車位0,五層，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840429,92.55,2,2,2,有,有,15500000,167477,,0.0,0,含增建或未登記建物。,RPPNMLNKPHOFFBA87DA
文山區,房地(土地+建物),臺北市文山區興隆路二段217巷1~30號,18.26,住,,,1080523,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,87.05,2,2,1,有,有,14480000,166341,,0.0,0,含增建或未登記建物。,RPTNMLQKPHOFFAA48DA
大安區,房地(土地+建物),臺北市大安區和平東路一段181~210號,3.68,商,,,1080410,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071224,38.29,1,1,1,有,有,12350000,322539,,0.0,0,,RPQNMLRKPHOFFFA68CA
大安區,房地(土地+建物),臺北市大安區安和路二段31~60號,25.72,住,,,1080603,土地2建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,266.05,5,2,2,有,有,60000000,225522,,0.0,0,,RPVOMLSJPHOFFFA66CA
大安區,房地(土地+建物),臺北市大安區復興南路二段193巷1~30號,21.61,住,,,1080427,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,110.81,3,2,2,有,有,24580000,221801,,0.0,0,,RPRNMLPJPHOFFFA48CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路1~30號,44.97,住,,,1080517,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021021,195.33999999999997,3,2,2,有,有,30000000,153578,坡道平面,0.0,0,,RPQNMLNKPHOFFEA18CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,27.36,住,,,1080418,土地1建物1車位2,十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,399.01,0,0,0,無,有,88880000,247991,坡道平面,56.74,4000000,,RPOOMLPKPHOFFEA28CA
松山區,房地(土地+建物),臺北市松山區南京東路五段211~240號,9.4,其他,,,1080513,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711110,117.71000000000001,3,2,2,有,有,22500000,191148,,0.0,0,陽台外推,RPRPMLLKPHOFFDA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,7.77,商,,,1080219,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,117.95,1,1,1,有,有,19970000,224519,坡道平面,41.04,2700000,,RPPOMLPJQHOFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,5.78,商,,,1080607,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,97.72,1,1,1,有,有,13550000,203776,坡道平面,41.04,2000000,,RPQOMLQKPHOFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.26,商,,,1080421,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,134.26,1,1,1,有,有,20930000,198777,坡道平面,41.04,2400000,,RPROMLQKPHOFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,12.71,商,,,1080421,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,172.13,1,1,1,有,有,30000000,213594,坡道平面,41.04,2000000,,RPTOMLQKPHOFFCA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,11.53,商,,,1080510,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,158.16000000000003,2,2,2,有,有,28060000,219110,坡道平面,41.04,2400000,,RPVOMLQKPHOFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.54,商,,,1080604,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,132.32,1,1,1,有,有,20600000,196100,坡道平面,41.04,2700000,,RPXPMLQKPHOFFCA56CA
內湖區,房地(土地+建物),臺北市內湖區成功路五段31~60號,27.74,商,,,1080524,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840725,157.59,3,2,2,有,有,24660000,156482,,0.0,0,含增建或未登記建物。;,RPSOMLNJPHOFFCA18CA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段416巷31~60號,44.95,住,,,1080611,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,173.74,3,1,2,有,有,27300000,157131,坡道平面,0.0,0,,RPTNMLSJPHOFFBA58CA
文山區,房地(土地+建物),臺北市文山區景後街91~120號,11.34,商,,,1080505,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831108,99.7,2,1,1,有,有,15800000,158475,,0.0,0,含增建或未登記建物。;,RPQNMLPJPHOFFAA87CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,14.97,商,,,1080610,土地2建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,167.57,3,2,2,有,有,39350000,234827,坡道平面,15.99,0,,RPPOMLSJPHOFFBA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街150巷31~60號,29.46,住,,,1080530,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0870717,186.69,4,2,2,有,有,30000000,160694,坡道平面,0.0,0,含增建或未登記建物。;,RPPOMLOJPHOFFCA97CA
中山區,房地(土地+建物),臺北市中山區南京東路二段1~30號,18.81,商,,,1080619,土地3建物1車位0,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,198.53,4,2,2,有,有,68880000,346950,,0.0,0,,RPUSMLRKPHOFFCA66CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路255巷1~30號,32.37,住,,,1080524,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991201,161.26,2,2,2,有,有,26950000,167121,坡道平面,47.29,0,,RPUPMLPJPHOFFDA78CA
松山區,房地(土地+建物),臺北市松山區民生東路五段181~210號,2.58,其他,,,1080609,土地1建物1車位0,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780629,37.71,1,1,1,有,有,7100000,188279,,0.0,0,,RPUNMLOJPHOFFDA48CA
中山區,房地(土地+建物)+車位,臺北市中山區植福路286巷1~30號,47.95,其他,,,1080517,土地1建物1車位2,七層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,433.90999999999997,0,0,0,無,有,158000000,424451,坡道平面,75.8,6000000,,RPWQMLMJQHOFFCA78CA
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段151~180號,15.15,其他,,,1080516,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991112,234.51,4,2,2,有,有,66680000,284338,坡道平面,35.56,0,,RPTNMLTJPHOFFDA88CA
松山區,房地(土地+建物),臺北市松山區敦化南路一段61~90號,25.29,其他,,,1080423,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750624,206.94,2,2,2,有,有,62880000,303856,,0.0,0,,RPVOMLMKPHOFFDA58CA
大安區,房地(土地+建物)+車位,臺北市大安區信義路二段181~210號,19.5,商,,,1080531,土地2建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070305,281.2,0,0,2,有,有,102000000,405210,坡道平面,39.35,4000000,"毛胚屋,車位土地交易總價280萬,車位建物交易總價120萬",RPQOMLSKPHOFFFA88CA
內湖區,房地(土地+建物),臺北市內湖區星雲街151~180號,16.4,其他,,,1080401,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880901,86.77000000000001,2,2,1,有,有,21060000,242711,,0.0,0,,RPXRMLLKPHOFFCA98DA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,46.86,住,,,1080428,土地1建物1車位2,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,328.03999999999996,4,2,2,有,有,56280000,215734,坡道平面,90.34,5000000,,RPPNMLRJPHOFFDA38DA
內湖區,房地(土地+建物),臺北市內湖區成功路五段450巷1~30號,28.17,住,,,1080601,土地1建物1車位0,七層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860519,116.71000000000001,3,2,2,有,有,22880000,196041,,0.0,0,含增建或未登記建物。,RPURMLLKPHOFFCA68DA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段60巷12弄61~90號,19.14,住,,,1080526,土地1建物1車位0,十七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,90.39,2,2,1,有,有,15000000,165948,,0.0,0,含增建或未登記建物。,RPSNMLRJPHOFFCA58DA
中正區,房地(土地+建物),臺北市中正區和平西路一段31~60號,4.43,商,,,1080614,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0970513,40.16,0,0,0,無,有,11880000,295817,,0.0,0,,RPWNMLKMPHOFFAA38DA
文山區,房地(土地+建物),臺北市文山區福興路61~90號,12.01,其他,,,1080606,土地3建物1車位0,三層，電梯樓梯間,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841030,226.20000000000002,2,1,1,有,有,25000000,110522,,0.0,0,,RPQOMLMJQHOFFAA87DA
士林區,房地(土地+建物)+車位,臺北市士林區通河西街二段121~150號,28.63,住,,,1080514,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000525,173.76,3,2,2,有,有,20700000,135970,坡道平面,36.22,2000000,,RPRNMLLKPHOFFEA08CA
